# Data taken from Figs. 10.1 and 10.3 of 40 years of evolution: Darwin's finches on Daphne Major Island by Grant and Grant. Accessed from the Dryad repository, http://dx.doi.org/10.5061/dryad.g6g3h, and munged into this CSV file.
band,species,beak length (mm),beak depth (mm),year
2955,fortis,10.6,9.9,1975
2974,fortis,11.88,10.36,1975
3642,fortis,11.03,10.28,1975
8016,fortis,10.73,8.9,1975
8020,fortis,10.13,8.7,1975
20139,fortis,10.15,9.15,1975
20165,fortis,10.85,10.35,1975
20166,fortis,10.95,8.85,1975
20168,fortis,9.85,8.55,1975
20204,fortis,10.25,8.95,1975
20238,fortis,11.75,10.75,1975
20267,fortis,10.95,10.05,1975
20273,fortis,10.95,10.15,1975
20283,fortis,10.55,8.45,1975
20285,fortis,9.65,8.85,1975
20286,fortis,11.45,10.25,1975
20293,fortis,10.25,9.75,1975
20298,fortis,10.05,8.95,1975
302,scandens,13.9,8.4,1975
304,scandens,14.0,8.8,1975
306,scandens,12.9,8.4,1975
310,scandens,13.5,8.0,1975
317,scandens,12.9,7.9,1975
318,scandens,14.6,8.9,1975
319,scandens,13.0,8.6,1975
322,scandens,14.2,8.5,1975
325,scandens,14.0,8.9,1975
327,scandens,14.2,9.1,1975
351,scandens,13.1,8.6,1975
353,scandens,15.1,9.8,1975
357,scandens,13.5,8.2,1975
358,scandens,14.4,9.0,1975
359,scandens,14.9,9.7,1975
361,scandens,12.9,8.6,1975
362,scandens,13.0,8.2,1975
363,scandens,14.9,9.0,1975
364,scandens,14.0,8.4,1975
365,scandens,13.8,8.6,1975
367,scandens,13.0,8.9,1975
404,scandens,14.75,9.1,1975
406,scandens,13.7,8.3,1975
407,scandens,13.8,8.7,1975
408,scandens,14.0,9.6,1975
409,scandens,14.6,8.5,1975
412,scandens,15.2,9.1,1975
421,scandens,13.5,9.0,1975
429,scandens,15.1,9.2,1975
460,scandens,15.0,9.9,1975
464,scandens,12.8,8.6,1975
467,scandens,14.9,9.2,1975
469,scandens,15.3,8.4,1975
470,scandens,13.4,8.9,1975
471,scandens,14.2,8.5,1975
472,scandens,15.1,10.4,1975
478,scandens,15.1,9.6,1975
508,scandens,14.0,9.1,1975
523,scandens,13.6,9.3,1975
525,scandens,14.0,9.3,1975
562,scandens,14.0,8.8,1975
568,scandens,13.9,8.3,1975
569,scandens,14.0,8.8,1975
570,scandens,14.9,9.1,1975
571,scandens,15.6,10.1,1975
573,scandens,13.8,8.9,1975
575,scandens,14.4,9.2,1975
577,scandens,12.8,8.5,1975
612,scandens,14.2,10.2,1975
613,scandens,13.4,10.1,1975
614,scandens,14.0,9.2,1975
718,scandens,14.8,9.7,1975
722,scandens,14.2,9.1,1975
724,scandens,13.5,8.5,1975
727,scandens,13.4,8.2,1975
728,scandens,14.6,9.0,1975
729,scandens,13.5,9.3,1975
782,scandens,13.7,8.0,1975
783,scandens,13.9,9.1,1975
784,scandens,13.1,8.1,1975
806,scandens,13.4,8.3,1975
816,scandens,13.8,8.7,1975
890,scandens,13.6,8.8,1975
901,scandens,14.0,8.6,1975
916,scandens,13.5,8.7,1975
918,scandens,12.8,8.0,1975
920,scandens,14.0,8.8,1975
935,scandens,13.4,9.0,1975
953,scandens,14.9,9.1,1975
1014,scandens,15.54,9.74,1975
1642,scandens,14.63,9.1,1975
1748,scandens,14.73,9.8,1975
1841,scandens,15.73,10.4,1975
1842,scandens,14.83,8.3,1975
2084,scandens,15.94,9.44,1975
2397,scandens,15.14,9.04,1975
8110,scandens,14.23,9.0,1975
20122,scandens,14.15,9.05,1975
20151,scandens,14.35,9.65,1975
20188,scandens,14.95,9.45,1975
20210,scandens,13.95,8.65,1975
20223,scandens,14.05,9.45,1975
20225,scandens,14.55,9.45,1975
20252,scandens,14.05,9.05,1975
20255,scandens,14.45,8.75,1975
20266,scandens,15.05,9.45,1975
20279,scandens,13.25,8.35,1975
14613,fortis,9.1,7.0,1987
15487,fortis,9.14,7.12,1987
15187,fortis,9.24,7.21,1987
15284,fortis,9.2,7.3,1987
14983,fortis,8.83,7.32,1987
14913,fortis,9.14,7.41,1987
15726,fortis,9.04,7.42,1987
15821,fortis,10.56,7.43,1987
15484,fortis,9.7,7.45,1987
4968,fortis,9.25,7.5,1987
15695,fortis,9.5,7.5,1987
15272,fortis,9.34,7.51,1987
15256,fortis,9.64,7.51,1987
13907,fortis,9.04,7.64,1987
5578,fortis,9.8,7.65,1987
10376,fortis,9.28,7.68,1987
13377,fortis,9.5,7.7,1987
15225,fortis,10.8,7.8,1987
15914,fortis,9.24,7.81,1987
14760,fortis,10.24,7.81,1987
15779,fortis,9.74,7.86,1987
13901,fortis,9.2,7.9,1987
15277,fortis,9.95,7.9,1987
15285,fortis,9.34,7.92,1987
13194,fortis,9.35,7.92,1987
14967,fortis,10.1,7.92,1987
14800,fortis,9.96,7.93,1987
14612,fortis,9.27,7.95,1987
15154,fortis,9.4,7.95,1987
14123,fortis,9.68,7.96,1987
15368,fortis,10.19,7.97,1987
15873,fortis,10.0,8.0,1987
16027,fortis,10.25,8.0,1987
15353,fortis,11.3,8.0,1987
14265,fortis,9.83,8.02,1987
15014,fortis,11.04,8.02,1987
14969,fortis,10.16,8.03,1987
5627,fortis,10.74,8.03,1987
15973,fortis,10.19,8.06,1987
13468,fortis,9.46,8.09,1987
15214,fortis,9.5,8.1,1987
14978,fortis,9.7,8.1,1987
15909,fortis,10.0,8.1,1987
13996,fortis,10.05,8.1,1987
13543,fortis,10.3,8.1,1987
14634,fortis,10.5,8.1,1987
15804,fortis,9.94,8.11,1987
15493,fortis,10.04,8.11,1987
15363,fortis,10.24,8.11,1987
15286,fortis,9.2,8.2,1987
15019,fortis,9.3,8.2,1987
16112,fortis,10.04,8.21,1987
15270,fortis,10.34,8.21,1987
15874,fortis,10.34,8.21,1987
16007,fortis,10.04,8.22,1987
14860,fortis,9.86,8.23,1987
10313,fortis,9.73,8.24,1987
15490,fortis,9.45,8.25,1987
15106,fortis,10.0,8.25,1987
13539,fortis,9.78,8.27,1987
14912,fortis,9.64,8.28,1987
13244,fortis,9.8,8.3,1987
14822,fortis,10.0,8.3,1987
14909,fortis,10.0,8.3,1987
15944,fortis,10.8,8.3,1987
16170,fortis,9.64,8.31,1987
15477,fortis,10.14,8.31,1987
15111,fortis,10.24,8.31,1987
14686,fortis,10.74,8.31,1987
15915,fortis,10.74,8.31,1987
15759,fortis,11.14,8.31,1987
15850,fortis,11.24,8.31,1987
15977,fortis,9.84,8.32,1987
14632,fortis,9.86,8.33,1987
14982,fortis,9.96,8.33,1987
13306,fortis,10.57,8.34,1987
13351,fortis,10.0,8.35,1987
15288,fortis,10.95,8.35,1987
15079,fortis,9.89,8.36,1987
15402,fortis,9.99,8.36,1987
15248,fortis,9.1,8.4,1987
13881,fortis,9.8,8.4,1987
15879,fortis,9.85,8.4,1987
4830,fortis,10.0,8.4,1987
15679,fortis,10.0,8.4,1987
15806,fortis,10.0,8.4,1987
5887,fortis,10.18,8.4,1987
15845,fortis,10.4,8.4,1987
14890,fortis,10.9,8.4,1987
15875,fortis,10.04,8.41,1987
15381,fortis,10.14,8.41,1987
15382,fortis,10.24,8.41,1987
15453,fortis,10.54,8.41,1987
5555,fortis,9.04,8.42,1987
15127,fortis,9.24,8.42,1987
14628,fortis,10.06,8.43,1987
15379,fortis,10.26,8.43,1987
14939,fortis,10.2,8.45,1987
10100,fortis,10.93,8.45,1987
16172,fortis,10.64,8.47,1987
15188,fortis,10.74,8.47,1987
14611,fortis,9.4,8.5,1987
14025,fortis,9.55,8.5,1987
14970,fortis,9.8,8.5,1987
15970,fortis,9.83,8.5,1987
10760,fortis,10.0,8.5,1987
15706,fortis,10.0,8.5,1987
14762,fortis,10.3,8.5,1987
15829,fortis,10.6,8.5,1987
14743,fortis,11.5,8.5,1987
15933,fortis,10.24,8.51,1987
14836,fortis,10.5,8.51,1987
15940,fortis,10.84,8.51,1987
15995,fortis,9.94,8.52,1987
14704,fortis,10.36,8.53,1987
5685,fortis,9.8,8.55,1987
14833,fortis,10.09,8.56,1987
1536,fortis,9.8,8.6,1987
15163,fortis,9.9,8.6,1987
5556,fortis,10.0,8.6,1987
14902,fortis,10.0,8.6,1987
15342,fortis,10.0,8.6,1987
14894,fortis,10.1,8.6,1987
15761,fortis,11.3,8.6,1987
5628,fortis,12.0,8.6,1987
15497,fortis,10.14,8.61,1987
14932,fortis,10.34,8.61,1987
15374,fortis,10.34,8.61,1987
15175,fortis,10.54,8.61,1987
15724,fortis,10.54,8.61,1987
15680,fortis,10.94,8.61,1987
14827,fortis,11.04,8.61,1987
15296,fortis,11.14,8.61,1987
15711,fortis,11.14,8.61,1987
10066,fortis,11.24,8.61,1987
15322,fortis,12.14,8.61,1987
15262,fortis,9.94,8.62,1987
14840,fortis,9.95,8.62,1987
